Date,Hour,Commune Montreuil,IRIS 930480204,IRIS 930480205,IRIS 930480206,IRIS 930480401,IRIS 930480604,Total
2020-08-24,00:00:00,100209,9885,11802,8783,2893,9076,142648
2020-08-24,00:30:00,95213,11148,12184,8286,2895,9034,138760
2020-08-24,01:00:00,85383,9647,9769,6320,1681,8104,120904
2020-08-24,01:30:00,79010,6530,12188,6967,2413,8333,115441
2020-08-24,02:00:00,74321,7071,12501,5720,2812,1696,104121
2020-08-24,02:30:00,72135,7320,13194,5517,3039,1430,102635
2020-08-24,03:00:00,71303,6902,13416,6355,3047,1427,102450
2020-08-24,03:30:00,68022,7376,13309,5892,2641,1335,98575
2020-08-24,04:00:00,64955,6898,12983,7172,2942,1213,96163
2020-08-24,04:30:00,63763,2777,8483,7328,1992,1225,85568
2020-08-24,05:00:00,64204,2381,8401,7242,1653,1211,85092
2020-08-24,05:30:00,66468,1996,8306,7322,1592,1588,87272
2020-08-24,06:00:00,66366,2452,9471,8393,1790,1560,90032
2020-08-24,06:30:00,78528,6978,9893,7535,1725,5302,109961
2020-08-24,07:00:00,80863,7531,8902,6257,1803,6102,111458
2020-08-24,07:30:00,82234,7583,8971,7099,1638,7312,114837
2020-08-24,08:00:00,87078,8479,9874,6891,2222,7598,122142
2020-08-24,08:30:00,93208,10347,11455,8980,3036,9906,136932
2020-08-24,09:00:00,97840,11082,12178,10313,3163,10782,145358
2020-08-24,09:30:00,100328,12054,14263,11116,3397,11765,152923
2020-08-24,10:00:00,100402,10290,13061,9779,3134,10031,146697
2020-08-24,10:30:00,99190,10299,12370,8477,2846,10057,143239
2020-08-24,11:00:00,100388,11398,12873,9280,2765,11345,148049
2020-08-24,11:30:00,103650,11564,14271,10711,3218,11918,155332
2020-08-24,12:00:00,104562,11935,14100,10464,4120,11437,156618
2020-08-24,12:30:00,110030,12313,14726,11522,3943,12810,165344
2020-08-24,13:00:00,98037,12145,14472,10671,3514,11266,150105
2020-08-24,13:30:00,110033,12801,16138,12983,3737,13978,169670
2020-08-24,14:00:00,110401,12452,16257,13203,3340,14153,169806
2020-08-24,14:30:00,110046,13269,15836,11836,3907,13361,168255
2020-08-24,15:00:00,110742,13713,15682,12333,3831,13737,170038
2020-08-24,15:30:00,110169,12784,15622,12221,3646,14454,168896
2020-08-24,16:00:00,110703,12990,15239,12407,4733,13886,169958
2020-08-24,16:30:00,108168,12493,15850,11868,3767,13122,165268
2020-08-24,17:00:00,108894,12664,15330,11302,3341,13182,164713
2020-08-24,17:30:00,112963,13062,16297,12281,3502,14096,172201
2020-08-24,18:00:00,117033,13461,17265,13261,3664,15011,179695
2020-08-24,18:30:00,112027,14174,20456,14221,4310,15057,180245
2020-08-24,19:00:00,115463,15274,21502,14791,5225,15249,187504
2020-08-24,19:30:00,111111,13475,17287,13363,3549,14544,173329
2020-08-24,20:00:00,99809,10028,15559,12395,4172,13042,155005
2020-08-24,20:30:00,127742,14936,21237,13335,4501,17722,199473
2020-08-24,21:00:00,123105,14769,19687,15907,4366,13258,191092
2020-08-24,21:30:00,112508,13978,18327,13428,5153,14885,178279
2020-08-24,22:00:00,107079,13145,15327,11740,4471,12975,164737
2020-08-24,22:30:00,101087,12954,14814,10309,4988,11337,155489
2020-08-24,23:00:00,100048,12654,14970,9718,5312,9932,152634
2020-08-24,23:30:00,100017,11720,13514,9290,4385,10364,149290
2020-08-25,00:00:00,101381,10808,11683,8634,3848,9017,145371
2020-08-25,00:30:00,91141,11343,12183,8091,3345,9186,135289
2020-08-25,01:00:00,82507,10140,8649,5455,1959,8764,117474
2020-08-25,01:30:00,78826,8597,8641,5880,2001,6954,110899
2020-08-25,02:00:00,76428,8430,8402,6125,2800,4245,106430
2020-08-25,02:30:00,71038,9057,8201,5944,3220,876,98336
2020-08-25,03:00:00,69985,9501,7567,5562,3152,858,96625
2020-08-25,03:30:00,68501,8942,7917,5722,2976,846,94904
2020-08-25,04:00:00,66851,8523,7979,6339,2399,680,92771
2020-08-25,04:30:00,63841,6598,10022,7570,3093,1343,92467
2020-08-25,05:00:00,61529,3132,10260,7544,3366,1287,87118
2020-08-25,05:30:00,63941,2874,10793,8092,3484,1510,90694
2020-08-25,06:00:00,65358,2820,10503,8262,2927,1785,91655
2020-08-25,06:30:00,80197,8381,10178,6983,2365,5313,113417
2020-08-25,07:00:00,83363,8343,9107,7044,2061,6064,115982
2020-08-25,07:30:00,85699,8356,10034,6810,2319,6352,119570
2020-08-25,08:00:00,90939,9234,11863,8496,1957,7807,130296
2020-08-25,08:30:00,97189,10656,12241,9106,3644,8984,141820
2020-08-25,09:00:00,102197,10751,13413,10236,3266,11082,150945
2020-08-25,09:30:00,106852,11563,13814,8999,4192,10614,156034
2020-08-25,10:00:00,105507,11543,13647,8824,4337,10416,154274
2020-08-25,10:30:00,103718,11283,14578,9274,3302,10791,152946
2020-08-25,11:00:00,102742,10155,14285,9141,3940,10906,151169
2020-08-25,11:30:00,101774,10813,13221,9169,3738,10604,149319
2020-08-25,12:00:00,106383,10972,13856,9617,3192,10515,154535
2020-08-25,12:30:00,103983,11723,14997,10372,3452,11560,156087
2020-08-25,13:00:00,108812,13209,16115,12277,3685,12457,166555
2020-08-25,13:30:00,109536,12968,14665,10574,4427,11012,163182
2020-08-25,14:00:00,108764,13481,15902,10602,4122,10913,163784
2020-08-25,14:30:00,105258,11979,14491,10380,3932,11099,157139
2020-08-25,15:00:00,104670,11786,14534,10622,3672,10927,156211
2020-08-25,15:30:00,103570,12016,14549,10200,3627,11152,155114
2020-08-25,16:00:00,99197,12474,15239,9825,3131,11152,151018
2020-08-25,16:30:00,97468,12748,15442,11423,4073,9854,151008
2020-08-25,17:00:00,104959,12069,15764,11400,3622,12360,160174
2020-08-25,17:30:00,109194,12208,17307,13480,4563,14236,170988
2020-08-25,18:00:00,104247,13329,15770,12192,4142,13590,163270
2020-08-25,18:30:00,109190,13475,16877,12932,4465,14020,170959
2020-08-25,19:00:00,117368,14644,18910,15450,4907,16222,187501
2020-08-25,19:30:00,118440,15017,17404,14956,4761,14511,185089
2020-08-25,20:00:00,118470,14759,19387,15907,4167,13631,186321
2020-08-25,20:30:00,123873,14948,18891,14834,4973,16839,194358
2020-08-25,21:00:00,113284,14839,19088,14646,4265,15324,181446
2020-08-25,21:30:00,109584,14651,18989,13624,5013,14361,176222
2020-08-25,22:00:00,108601,13654,15184,12640,4643,12187,166909
2020-08-25,22:30:00,107612,14244,14415,9962,4718,12119,163070
2020-08-25,23:00:00,107231,13306,14265,9633,3765,10044,158244
2020-08-25,23:30:00,106275,12220,15176,9536,4222,10062,157491
2020-08-26,00:00:00,100232,11562,13738,8895,2846,9883,147156
2020-08-26,00:30:00,98940,11333,12179,8620,2788,10234,144094
2020-08-26,01:00:00,90685,9768,10051,7332,1781,8883,128500
2020-08-26,01:30:00,87178,9657,10340,6473,1772,8164,123584
2020-08-26,02:00:00,81681,9935,7162,4923,2540,8524,114765
2020-08-26,02:30:00,78064,12471,7944,5544,2331,5146,111500
2020-08-26,03:00:00,76254,12919,8198,4706,2406,5483,109966
2020-08-26,03:30:00,66728,7876,8691,5480,2709,4648,96132
2020-08-26,04:00:00,66258,7962,8768,5339,2243,828,91398
